CO,PM10,PM25,SO2,AQI
3.948863636,9.259259259,7.44047619,1.545454545,9.259259259
3.091856061,5.516975309,6.764069264,0.481203008,6.764069264
3.461174242,6.057098765,6.222943723,1.589285714,6.222943723
3.290719697,7.407407407,5.952380952,2.482142857,7.407407407
3.560606061,8.989197531,12.31060606,3.714285714,12.31060606
6.467391304,9.098228663,14.25748165,4.350649351,14.25748165
11.69034091,20.0617284,33.68506494,3.607142857,33.68506494
10.51609848,15.74074074,24.48593074,3.071428571,24.48593074
6.01284585,19.94598765,34.09090909,4.529761905,34.09090909
7.12594697,21.60493827,38.41991342,4.267857143,38.41991342
6.202651515,18.05555556,34.22619048,3.994047619,34.22619048
6.482007576,15.20061728,24.89177489,1.357142857,24.89177489
8.613636364,19.97354497,33.83458647,2.285714286,33.83458647
9.389204545,16.62808642,26.24458874,1.779761905,26.24458874
8.702651515,19.52160494,30.03246753,3.130952381,30.03246753
8.300189394,20.48611111,33.54978355,2.97515528,33.54978355
7.329545455,14.58333333,17.18073593,2.541666667,17.18073593
7.481060606,15.50925926,26.92099567,3.494047619,26.92099567
5.255681818,15.81790123,34.36147186,4.172619048,34.36147186
2.75094697,5.439814815,6.764069264,1.970238095,6.764069264
3.248106061,4.74537037,3.382034632,2.351190476,4.74537037
3.929924242,19.44444444,44.1017316,3,44.1017316
3.804347826,25.96618357,66.55555556,4.571428571,66.55555556
3.120265152,11.38117284,66.55555556,4.023809524,66.55555556
4.578598485,7.677469136,66.55555556,3.053571429,66.55555556
3.555871212,9.413580247,66.55555556,4.202380952,66.55555556
7.083333333,19.92753623,38.23953824,3.071428571,38.23953824
6.09375,21.52777778,40.04329004,5.267080745,40.04329004
6.434659091,17.09104938,33.82034632,2.304347826,33.82034632
6.81344697,14.15895062,25.56818182,2.130952381,25.56818182
10.3219697,16.08796296,25.7034632,4.18452381,25.7034632
5.359848485,14.66049383,25.02705628,2.363095238,25.02705628
3.290719697,10.41666667,14.745671,1.238095238,14.745671
7.999011858,15.57971014,31.47939018,4.298701299,31.47939018
7.954545455,20.37037037,49.78354978,4.447204969,49.78354978
7.419507576,27.35339506,58.02160494,2.791666667,58.02160494
9.161931818,22.02932099,52.83641975,2.636904762,52.83641975
5.946969697,22.68518519,49.78354978,1.642857143,49.78354978
7.660984848,25.84876543,51.32407407,3.454545455,51.32407407
6.472537879,28.43364198,57.37345679,0.255639098,57.37345679
6.794507576,32.74410774,63.25589226,2.977443609,63.25589226
9.024621212,38.13131313,80.34343434,3.329192547,80.34343434
10.11880165,33.08080808,67.38047138,1.095238095,67.38047138
10.70549242,30.28549383,63.96296296,2.217391304,63.96296296
9.734848485,28.24074074,57.2654321,3.360248447,57.2654321
7.239583333,28.24074074,37.74350649,1.68452381,37.74350649
5.241477273,28.24074074,16.91017316,0.595238095,28.24074074
5.963203463,28.24074074,15.81027668,3.129251701,28.24074074
8.181818182,22.57834758,35.17316017,2.838509317,35.17316017
8.338068182,20.91049383,43.96645022,2.761904762,43.96645022
9.242424242,24.38271605,48.43073593,3.43452381,48.43073593
8.035037879,25.19290123,46.53679654,1.31292517,46.53679654
6.358901515,17.01388889,29.08549784,2.193277311,29.08549784
5.080492424,11.95987654,21.50974026,3.083333333,21.50974026
5.852272727,25.6558642,34.36147186,2.107142857,34.36147186
5.09469697,24.64726631,32.91027155,3.964285714,32.91027155
5.123106061,22.10648148,31.38528139,3.876190476,31.38528139
6.671401515,14.04320988,20.42748918,3.583333333,20.42748918
8.295454545,22.83950617,45.31926407,3.218487395,45.31926407
5.733901515,19.02006173,33.68506494,3.94047619,33.68506494
4.517045455,8.796296296,18.66883117,2.881987578,18.66883117
6.794507576,9.606481481,16.23376623,5.229813665,16.23376623
6.576704545,20.33179012,26.51515152,4.318181818,26.51515152
8.591897233,18.4303351,35.29079616,2.962732919,35.29079616
5.525568182,27.89351852,43.1547619,1.619047619,43.1547619
4.180871212,26.2345679,44.1017316,2.041666667,44.1017316
4.12405303,14.66049383,24.35064935,3.339285714,24.35064935
5.160984848,16.89814815,26.10930736,1.970238095,26.10930736
5.511363636,22.22222222,36.56126482,1.552795031,36.56126482
5.108901515,30.13117284,35.8495671,-0.051020408,35.8495671
5.714962121,26.92901235,33.41450216,2.532467532,33.41450216
7.5,31.32716049,40.31385281,5.510204082,40.31385281
6.325757576,23.41820988,36.39069264,3.380952381,36.39069264
4.0625,23.88117284,32.73809524,3.488095238,32.73809524
4.199810606,11.07253086,16.504329,1.041666667,16.504329
4.266098485,13.7345679,14.61038961,2,14.61038961
4.256628788,12.5,26.24458874,0.892857143,26.24458874
5.175189394,29.28240741,40.04329004,2.857142857,40.04329004
4.896245059,28.9452496,39.40377804,2.781954887,39.40377804
5.364583333,28.24074074,42.74891775,2.494047619,42.74891775
5.06155303,23.84259259,31.52056277,1.321428571,31.52056277
4.422348485,22.22222222,38.96103896,3.553571429,38.96103896
5.454545455,26.69753086,43.96645022,5.279761905,43.96645022
5.25094697,26.65056361,43.05477132,3.994047619,43.05477132
5.132575758,11.65123457,20.96861472,2.93452381,20.96861472
7.542613636,8.950617284,19.3452381,2.232142857,19.3452381
7.002840909,28.36666667,66.98765432,1.523809524,66.98765432
3.522727273,43.82716049,45.0487013,2.19047619,45.0487013
3.191287879,20.10030864,22.72727273,0.68452381,22.72727273
4.071146245,19.3287037,26.24458874,2.832298137,26.24458874
4.346590909,22.26080247,37.33766234,2.527950311,37.33766234
