MonitorDate,SiteId,CO,PM10,PM25,SO2,AQI
2020/5/18,70,0.775833333,17.875,9.173913043,2.891666667,29.78543196
2020/5/19,70,0.842083333,21.66666667,12.54166667,0.708695652,40.71969697
2020/5/20,70,0.628333333,19.125,11.04166667,0.691304348,35.8495671
2020/5/21,70,0.751666667,13.17391304,5.47826087,2.443478261,17.78656126
2020/5/22,70,0.96125,8.083333333,4.916666667,1.95,15.96320346
2020/5/23,70,0.514166667,6.916666667,4.708333333,1.366666667,15.28679654
2020/5/24,70,0.4,15.66666667,7.166666667,2.041666667,23.26839827
2020/5/25,70,0.675416667,22.29166667,10.91666667,1.695833333,35.44372294
2020/5/26,70,0.855217391,19.33333333,9.375,2.417391304,30.43831169
2020/5/27,70,0.45875,12.54166667,5,2.529166667,16.23376623
2020/5/28,70,0.624347826,7.956521739,4.409090909,2.22173913,14.31523022
2020/5/29,70,1.105652174,14.91304348,8.956521739,2.234782609,29.07961604
2020/5/30,70,0.89375,21.29166667,11.20833333,1.6625,36.39069264
2020/5/31,70,0.555,15.66666667,7.458333333,1.770833333,24.21536797
2020/6/1,70,0.839565217,16.375,8.333333333,2.139130435,27.05627706
2020/6/2,70,0.991428571,21.59090909,11.34782609,1.233333333,36.84359119
2020/6/3,70,0.619166667,20.08695652,9.086956522,2.591304348,29.50310559
2020/6/4,70,0.599583333,22.45833333,10.33333333,1.633333333,33.54978355
2020/6/5,70,0.68375,22.58333333,11.33333333,1.0625,36.7965368
2020/6/6,70,0.5225,19.125,8.083333333,2.125,26.24458874
2020/6/7,70,0.6625,14.58333333,7.541666667,1.733333333,24.48593074
2020/6/8,70,0.828333333,16.70833333,6.833333333,0.979166667,22.18614719
2020/6/9,70,0.821304348,16.04347826,7.086956522,1.77826087,23.0095991
2020/6/10,70,0.803333333,19.16666667,10.33333333,2.225,33.54978355
2020/6/11,70,0.93,29.70833333,15.41666667,2.4,50.05411255
2020/6/12,70,0.860416667,26.91666667,14.08333333,1.05,45.72510823
2020/6/13,70,0.662916667,25.5,12.70833333,2.129166667,41.26082251
2020/6/14,70,0.703333333,21.625,12.66666667,1.508333333,41.12554113
2020/6/15,70,0.585416667,20.20833333,6.333333333,1.179166667,20.56277056
2020/6/16,70,0.533333333,17.91666667,7.958333333,1.7875,25.83874459
2020/6/17,70,0.593333333,22.08333333,9.833333333,1.35,31.92640693
2020/6/18,70,0.50125,19.29166667,9.375,1.6375,30.43831169
2020/6/19,70,0.5875,21.56521739,10.30434783,2.186956522,33.45567476
2020/6/20,70,0.603333333,20.70833333,9.875,2.5,32.06168831
2020/6/21,70,0.459583333,20.39130435,10.73913043,2.3,34.86730661
2020/6/22,70,0.500416667,18.875,8.041666667,2.829166667,26.10930736
2020/6/23,70,0.591363636,19.52173913,8.913043478,1.018181818,28.93845285
2020/6/24,70,0.647916667,21.20833333,9.75,2.170833333,31.65584416
2020/6/25,70,0.452916667,21.125,10,1.754166667,32.46753247
2020/6/26,70,0.454583333,17.75,8.791666667,1.679166667,28.54437229
2020/6/27,70,0.479583333,20.20833333,10.20833333,2.433333333,33.14393939
2020/6/28,70,0.485,16.625,8.75,9.416666667,28.40909091
2020/6/29,70,0.577083333,19.04347826,10.08695652,1.477272727,32.74985884
2020/6/30,70,0.59,20.68181818,9.863636364,1.163636364,32.02479339
2020/7/1,70,0.674583333,21.125,8.541666667,1.408333333,27.73268398
2020/7/2,70,0.674166667,18.58333333,7.833333333,2.795833333,25.43290043
2020/7/3,70,0.744166667,20.20833333,10.125,1.4625,32.87337662
2020/7/4,70,0.562916667,20.625,10.91666667,1.2,35.44372294
2020/7/5,70,0.483636364,21.26086957,10.2173913,1.244444444,33.17334839
2020/7/6,70,0.6075,23.58333333,11.66666667,2.845833333,37.87878788
2020/7/7,70,0.681666667,21.58333333,10.5,1.295833333,34.09090909
2020/7/8,70,0.578333333,20.33333333,8.5,1.533333333,27.5974026
2020/7/9,70,0.609583333,20.08333333,8.333333333,1.229166667,27.05627706
2020/7/10,70,0.64625,21.29166667,9.75,2.154545455,31.65584416
2020/7/11,70,0.559166667,20.58333333,10.20833333,2.720833333,33.14393939
2020/7/12,70,0.513333333,19.375,9.333333333,0.875,30.3030303
2020/7/13,70,0.66625,22.70833333,12.16666667,2.595652174,39.5021645
2020/7/14,70,0.5375,19.56521739,10.52173913,2.75,34.16149068
2020/7/15,70,0.624166667,22.34782609,12.83333333,1.2625,41.66666667
2020/7/16,70,0.53125,18.25,8.125,1.708333333,26.37987013
2020/7/17,70,0.5325,15.75,6.625,2.2875,21.50974026
2020/7/18,70,0.453333333,15.875,5.833333333,1.783333333,18.93939394
2020/7/19,70,0.616666667,20.66666667,11.04166667,2.504166667,35.8495671
2020/7/20,70,0.653043478,18.66666667,8.75,1.843478261,28.40909091
2020/7/21,70,0.730833333,18.70833333,9.458333333,0.9,30.70887446
2020/7/22,70,0.687916667,21.125,10.83333333,1.975,35.17316017
2020/7/23,70,0.732272727,19.5,9.818181818,3.076190476,31.8772137
2020/7/24,70,0.730833333,20.70833333,9.375,3.195833333,30.43831169
2020/7/25,70,0.634166667,16.70833333,7.333333333,0.333333333,23.80952381
2020/7/26,70,0.575416667,16.20833333,7.75,1.933333333,25.16233766
2020/7/27,70,0.724166667,18.08695652,7.608695652,2.17826087,24.70355731
2020/7/28,70,0.691052632,15.42105263,6.105263158,2.647368421,19.82228298
2020/7/29,70,0.3475,10,2.291666667,1.081818182,9.259259259
2020/7/30,70,0.272083333,5.958333333,2.083333333,0.336842105,6.764069264
2020/7/31,70,0.304583333,6.541666667,1.916666667,1.1125,6.222943723
2020/8/1,70,0.289583333,8,1.833333333,1.7375,7.407407407
2020/8/2,70,0.313333333,9.708333333,3.791666667,2.6,12.31060606
2020/8/3,70,0.569130435,9.826086957,4.391304348,3.045454545,14.25748165
2020/8/4,70,1.02875,21.66666667,10.375,2.525,33.68506494
2020/8/5,70,0.925416667,17,7.541666667,2.15,24.48593074
2020/8/6,70,0.529130435,21.54166667,10.5,3.170833333,34.09090909
2020/8/7,70,0.627083333,23.33333333,11.83333333,2.9875,38.41991342
2020/8/8,70,0.545833333,19.5,10.54166667,2.795833333,34.22619048
2020/8/9,70,0.570416667,16.41666667,7.666666667,0.95,24.89177489
2020/8/10,70,0.758,21.57142857,10.42105263,1.6,33.83458647
2020/8/11,70,0.82625,17.95833333,8.083333333,1.245833333,26.24458874
2020/8/12,70,0.765833333,21.08333333,9.25,2.191666667,30.03246753
2020/8/13,70,0.730416667,22.125,10.33333333,2.082608696,33.54978355
2020/8/14,70,0.645,15.75,5.291666667,1.779166667,17.18073593
2020/8/15,70,0.658333333,16.75,8.291666667,2.445833333,26.92099567
2020/8/16,70,0.4625,17.08333333,10.58333333,2.920833333,34.36147186
2020/8/17,70,0.242083333,5.875,2.083333333,1.379166667,6.764069264
2020/8/18,70,0.285833333,5.125,1.041666667,1.645833333,4.74537037
2020/8/19,70,0.345833333,21,13.58333333,2.1,44.1017316
2020/8/20,70,0.334782609,28.04347826,21.5,3.2,66.55555556
2020/8/21,70,0.274583333,12.29166667,0,2.816666667,11.38117284
2020/8/22,70,0.402916667,8.291666667,0,2.1375,7.677469136
2020/8/23,70,0.312916667,10.16666667,0,2.941666667,9.413580247
2020/8/24,70,0.623333333,21.52173913,11.77777778,2.15,38.23953824
2020/8/25,70,0.53625,23.25,12.33333333,3.686956522,40.04329004
2020/8/26,70,0.56625,18.45833333,10.41666667,1.613043478,33.82034632
2020/8/27,70,0.599583333,15.29166667,7.875,1.491666667,25.56818182
2020/8/28,70,0.908333333,17.375,7.916666667,2.929166667,25.7034632
2020/8/29,70,0.471666667,15.83333333,7.708333333,1.654166667,25.02705628
2020/8/30,70,0.289583333,11.25,4.541666667,0.866666667,14.745671
2020/8/31,70,0.703913043,16.82608696,9.695652174,3.009090909,31.47939018
2020/9/1,70,0.7,22,15.33333333,3.113043478,49.78354978
2020/9/2,70,0.652916667,29.54166667,18.20833333,1.954166667,58.02160494
2020/9/3,70,0.80625,23.79166667,16.20833333,1.845833333,52.83641975
2020/9/4,70,0.523333333,24.5,15.33333333,1.15,49.78354978
2020/9/5,70,0.674166667,27.91666667,15.625,2.418181818,51.32407407
2020/9/6,70,0.569583333,30.70833333,17.95833333,0.178947368,57.37345679
2020/9/7,70,0.597916667,35.36363636,20.22727273,2.084210526,63.25589226
2020/9/8,70,0.794166667,41.18181818,26.81818182,2.330434783,80.34343434
2020/9/9,70,0.890454545,35.72727273,21.81818182,0.766666667,67.38047138
2020/9/10,70,0.942083333,32.70833333,20.5,1.552173913,63.96296296
2020/9/11,70,0.856666667,30.5,17.91666667,2.352173913,57.2654321
2020/9/12,70,0.637083333,0,11.625,1.179166667,37.74350649
2020/9/13,70,0.46125,0,5.208333333,0.416666667,16.91017316
2020/9/14,70,0.524761905,0,4.869565217,2.19047619,15.81027668
2020/9/15,70,0.72,24.38461538,10.83333333,1.986956522,35.17316017
2020/9/16,70,0.73375,22.58333333,13.54166667,1.933333333,43.96645022
2020/9/17,70,0.813333333,26.33333333,14.91666667,2.404166667,48.43073593
2020/9/18,70,0.707083333,27.20833333,14.33333333,0.919047619,46.53679654
2020/9/19,70,0.559583333,18.375,8.958333333,1.535294118,29.08549784
2020/9/20,70,0.447083333,12.91666667,6.625,2.158333333,21.50974026
2020/9/21,70,0.515,27.70833333,10.58333333,1.475,34.36147186
2020/9/22,70,0.448333333,26.61904762,10.13636364,2.775,32.91027155
2020/9/23,70,0.450833333,23.875,9.666666667,2.713333333,31.38528139
2020/9/24,70,0.587083333,15.16666667,6.291666667,2.508333333,20.42748918
2020/9/25,70,0.73,24.66666667,13.95833333,2.252941176,45.31926407
2020/9/26,70,0.504583333,20.54166667,10.375,2.758333333,33.68506494
2020/9/27,70,0.3975,9.5,5.75,2.017391304,18.66883117
2020/9/28,70,0.597916667,10.375,5,3.660869565,16.23376623
2020/9/29,70,0.57875,21.95833333,8.166666667,3.022727273,26.51515152
2020/9/30,70,0.756086957,19.9047619,10.86956522,2.073913043,35.29079616
2020/10/1,70,0.48625,30.125,13.29166667,1.133333333,43.1547619
2020/10/2,70,0.367916667,28.33333333,13.58333333,1.429166667,44.1017316
2020/10/3,70,0.362916667,15.83333333,7.5,2.3375,24.35064935
2020/10/4,70,0.454166667,18.25,8.041666667,1.379166667,26.10930736
2020/10/5,70,0.485,24,11.26086957,1.086956522,36.56126482
2020/10/6,70,0.449583333,32.54166667,11.04166667,-0.035714286,35.8495671
2020/10/7,70,0.502916667,29.08333333,10.29166667,1.772727273,33.41450216
2020/10/8,70,0.66,33.83333333,12.41666667,3.857142857,40.31385281
2020/10/9,70,0.556666667,25.29166667,11.20833333,2.366666667,36.39069264
2020/10/10,70,0.3575,25.79166667,10.08333333,2.441666667,32.73809524
2020/10/11,70,0.369583333,11.95833333,5.083333333,0.729166667,16.504329
2020/10/12,70,0.375416667,14.83333333,4.5,1.4,14.61038961
2020/10/13,70,0.374583333,13.5,8.083333333,0.625,26.24458874
2020/10/14,70,0.455416667,31.625,12.33333333,2,40.04329004
2020/10/15,70,0.430869565,31.26086957,12.13636364,1.947368421,39.40377804
2020/10/16,70,0.472083333,30.5,13.16666667,1.745833333,42.74891775
2020/10/17,70,0.445416667,25.75,9.708333333,0.925,31.52056277
2020/10/18,70,0.389166667,24,12,2.4875,38.96103896
2020/10/19,70,0.48,28.83333333,13.54166667,3.695833333,43.96645022
2020/10/20,70,0.462083333,28.7826087,13.26086957,2.795833333,43.05477132
2020/10/21,70,0.451666667,12.58333333,6.458333333,2.054166667,20.96861472
2020/10/22,70,0.66375,9.666666667,5.958333333,1.5625,19.3452381
2020/10/23,70,0.61625,57.875,21.66666667,1.066666667,66.98765432
2020/10/24,70,0.31,47.33333333,13.875,1.533333333,45.0487013
2020/10/25,70,0.280833333,21.70833333,7,0.479166667,22.72727273
2020/10/26,70,0.35826087,20.875,8.083333333,1.982608696,26.24458874
2020/10/27,70,0.3825,24.04166667,11.5,1.769565217,37.33766234
2020/10/28,70,0.3775,26.20833333,14.70833333,2.170833333,47.754329
2020/10/29,70,0.46173913,27.82608696,13.2173913,2.859090909,42.91360813
2020/10/30,70,0.435416667,38.95833333,14.25,2.945833333,46.26623377
2020/10/31,70,0.354583333,27.5,10.79166667,1.504166667,35.03787879
2020/11/1,70,0.320833333,22.83333333,10.79166667,0.8125,35.03787879
2020/11/2,70,0.43375,27.33333333,11,1.041666667,35.71428571
2020/11/3,70,0.595833333,66.29166667,28.29166667,1.466666667,84.16358025
2020/11/4,70,0.429583333,36.5,12.58333333,1.954166667,40.85497835
2020/11/5,70,0.356521739,22.91304348,9.391304348,1.358333333,30.49124788
2020/11/6,70,0.381666667,9.875,4.166666667,1.995833333,13.52813853
2020/11/7,70,0.572083333,19.20833333,9.541666667,1.904166667,30.97943723
2020/11/8,70,0.450416667,19,13.70833333,2.216666667,44.50757576
2020/11/9,70,0.3725,47.04166667,15.79166667,2.766666667,51.75617284
2020/11/10,70,0.309565217,22.39130435,8.869565217,1.591304348,28.79728967
2020/11/11,70,0.365,32.83333333,11.25,1.6375,36.52597403
2020/11/12,70,0.379166667,21.83333333,11.83333333,1.066666667,38.41991342
2020/11/13,70,0.466666667,19.04166667,11.41666667,2.308333333,37.06709957
2020/11/14,70,0.2925,21.20833333,10.5,0.858333333,34.09090909
2020/11/15,70,0.305833333,21.83333333,9.875,1.145833333,32.06168831
2020/11/16,70,0.361666667,16.70833333,6.75,1.291666667,21.91558442
2020/11/17,70,0.36875,17.375,7.25,2.079166667,23.53896104
2020/11/18,70,0.849166667,19.75,10.29166667,2.995833333,33.41450216
2020/11/19,70,0.770833333,22.17391304,13.13043478,1.945833333,42.63128176
2020/11/20,70,0.788333333,24,13.16666667,2.466666667,42.74891775
2020/11/21,70,0.595416667,19.625,9.333333333,2.454166667,30.3030303
2020/11/22,70,0.701666667,18.16666667,9.041666667,1.204166667,29.35606061
2020/11/23,70,0.439565217,15.95652174,7.391304348,1.526086957,23.99774139
2020/11/24,70,0.413333333,22.375,11,1.241666667,35.71428571
2020/11/25,70,0.44875,17.73333333,8.083333333,1.847619048,26.24458874
2020/11/26,70,0.466666667,18.2,9.916666667,1.25,32.1969697
2020/11/27,70,0.553333333,24.91304348,12.08333333,1.645833333,39.23160173
2020/11/28,70,0.461666667,15.20833333,6.916666667,2.466666667,22.45670996
2020/11/29,70,0.33,11.75,6.791666667,2.466666667,22.0508658
2020/11/30,70,0.41125,14.45833333,8.166666667,2.316666667,26.51515152
2020/12/1,70,0.438333333,18.65217391,10.65217391,2.245833333,34.58498024
2020/12/2,70,0.466666667,21.54166667,9.25,1.9375,30.03246753
2020/12/3,70,0.55625,14.70833333,8.416666667,1.770833333,27.32683983
2020/12/4,70,0.490416667,11,7.041666667,1.729166667,22.86255411
2020/12/5,70,0.347916667,8.739130435,7.833333333,1.845833333,25.43290043
2020/12/6,70,0.345416667,6.666666667,4.652173913,1.941666667,15.10446076
2020/12/7,70,0.506956522,7,4.375,1.508695652,14.20454545
2020/12/8,70,0.537916667,6.625,4.25,2.520833333,13.7987013
2020/12/9,70,0.534583333,5.681818182,4.833333333,2.204166667,15.69264069
2020/12/10,70,0.73875,7.375,5.958333333,0.9625,19.3452381
2020/12/11,70,0.595217391,8.826086957,5.434782609,1.377272727,17.64539808
2020/12/12,70,0.7175,35.70833333,23.79166667,1.775,72.49691358
2020/12/13,70,0.89125,38.20833333,26.20833333,1.9,78.76234568
2020/12/14,70,0.577083333,11.18181818,8.708333333,2.345833333,28.27380952
