AQI,AQI.1,AQI.2,AQI.3
0.711417384,1,0.900988391,74.72785829
1,0.900988391,0.782237458,73.14506173
0.900988391,0.782237458,0.764545564,76.49382716
0.782237458,0.764545564,0.801976782,62.77469136
0.764545564,0.801976782,0.648629534,39.77272727
0.801976782,0.648629534,0.391522386,65.48470209
0.648629534,0.391522386,0.678920997,61.72390572
0.391522386,0.678920997,0.636884255,70.55246914
0.678920997,0.636884255,0.735566557,17.31601732
0.636884255,0.735566557,0.140509879,21.91558442
0.735566557,0.140509879,0.191922079,32.60281385
0.140509879,0.191922079,0.311379838,23.57425184
0.191922079,0.311379838,0.210462029,23.29192547
0.311379838,0.210462029,0.207306293,26.6504329
0.210462029,0.207306293,0.244846403,45.45454545
0.207306293,0.244846403,0.455031574,43.29004329
0.244846403,0.455031574,0.430837598,52.2962963
0.455031574,0.430837598,0.531506046,34.22619048
0.430837598,0.531506046,0.329525321,30.3030303
0.531506046,0.329525321,0.285673738,36.25541126
0.329525321,0.285673738,0.352207174,48.0177717
0.285673738,0.352207174,0.483682336,39.80801807
0.352207174,0.483682336,0.391916853,61.91049383
0.483682336,0.391916853,0.638969865,45.18398268
0.391916853,0.638969865,0.452007327,72.69887279
0.638969865,0.452007327,0.759558235,74.33333333
0.452007327,0.759558235,0.777827609,83.08333333
0.759558235,0.777827609,0.87563176,68.07729469
0.777827609,0.87563176,0.707900004,69.25617284
0.87563176,0.707900004,0.721077053,71.41666667
0.707900004,0.721077053,0.745226226,72.92901235
0.721077053,0.745226226,0.762130647,55.25925926
0.745226226,0.762130647,0.564624912,30.16774892
0.762130647,0.564624912,0.284161615,10.01082251
0.564624912,0.284161615,0.058855208,40.17857143
0.284161615,0.058855208,0.396058756,29.78543196
0.058855208,0.396058756,0.279888222,30.84415584
0.396058756,0.279888222,0.291722233,41.53138528
0.279888222,0.291722233,0.411179992,26.6798419
0.291722233,0.411179992,0.245175125,40.71969697
0.411179992,0.245175125,0.402107251,51.86419753
0.245175125,0.402107251,0.526676211,64.50308642
0.402107251,0.526676211,0.667948873,77.57407407
0.526676211,0.667948873,0.814051369,74.7654321
0.667948873,0.814051369,0.782657444,55.42901235
0.814051369,0.782657444,0.566522347,54.02469136
0.782657444,0.566522347,0.550825384,71.84876543
0.566522347,0.550825384,0.750056061,39.36688312
0.550825384,0.750056061,0.386986015,38.69047619
0.750056061,0.386986015,0.379425398,38.39638622
0.386986015,0.379425398,0.376138172,35.44372294
