wind_direct,temperature,rain,humidity,wind_speed,AQI,wind_direct.1,temperature.1,rain.1,humidity.1,wind_speed.1,AQI.1,wind_direct.2,temperature.2,rain.2,humidity.2,wind_speed.2,AQI.2,AQI.3
0.490105648,0.009035553,0,0.259438529,0.490105648,0.8489579,0.203169443,0.013749754,0,0.281703775,0.203169443,0.964931201,0.171132765,0.105676684,0,0.353339787,0.171132765,0.501907404,30.97943723
0.203169443,0.013749754,0,0.281703775,0.203169443,0.964931201,0.170459163,0.105676684,0,0.353339787,0.170459163,0.501907404,0.107389363,0.274209389,0,0.363020329,0.107389363,0.293234356,33.31451158
0.170459163,0.105676684,0,0.353339787,0.170459163,0.501907404,0.106663958,0.274209389,0,0.363020329,0.106663958,0.293234356,0.145960211,0.278923591,0.003490401,0.66214908,0.145960211,0.319334923,33.68506494
0.106663958,0.274209389,0,0.363020329,0.106663958,0.293234356,0.145266152,0.278923591,0.003490401,0.66214908,0.145266152,0.319334923,0.575314657,0.227067374,0.102966841,0.948693127,0.575314657,0.323476827,33.14393939
0.145266152,0.278923591,0.003490401,0.66214908,0.145266152,0.319334923,0.574969525,0.227067374,0.102966841,0.948693127,0.574969525,0.323476827,0.24319935,0.176586132,0.092495637,0.810261375,0.24319935,0.317428333,29.22077922
0.574969525,0.227067374,0.102966841,0.948693127,0.574969525,0.323476827,0.242584315,0.176586132,0.092495637,0.810261375,0.242584315,0.317428333,0.201177426,0.362207818,0,0.616650532,0.201177426,0.27357675,24.48593074
0.242584315,0.176586132,0.092495637,0.810261375,0.242584315,0.317428333,0.200528241,0.362207818,0,0.616650532,0.200528241,0.27357675,0.719914738,0.229424475,0.027923211,0.865440465,0.719914738,0.220652426,34.9025974
0.200528241,0.362207818,0,0.616650532,0.200528241,0.27357675,0.719687119,0.229424475,0.027923211,0.865440465,0.719687119,0.220652426,0.040600893,0.211353369,0,0.524685382,0.040600893,0.337085939,53.26851852
0.719687119,0.229424475,0.027923211,0.865440465,0.719687119,0.220652426,0.039821211,0.211353369,0,0.524685382,0.039821211,0.337085939,0.121599675,0.150068749,0,0.620522749,0.121599675,0.542373174,57.04938272
0.039821211,0.211353369,0,0.524685382,0.039821211,0.337085939,0.120885819,0.150068749,0,0.620522749,0.120885819,0.542373174,0.105968331,0.256727558,0,0.311713456,0.105968331,0.584634226,63.20679012
0.120885819,0.150068749,0,0.620522749,0.120885819,0.542373174,0.105241772,0.256727558,0,0.311713456,0.105241772,0.584634226,0.363235891,0.372421921,0,0.428848015,0.363235891,0.653459369,76.70987654
