MonitorDate,SiteId,wind_direct,temperature,rain,humidity,wind_speed,AQI
2020/2/25,70,113.47500000000001,23.133333333333336,0.0,64.83333333333333,113.47500000000001,72.38888888888889
2020/2/26,70,86.91666666666667,22.75,0.0,69.83333333333333,86.91666666666667,60.1820987654321
2020/2/27,70,75.66666666666667,19.05,0.0,80.45833333333333,75.66666666666667,38.66587957497048
2020/2/28,70,183.41666666666666,21.5,0.0,76.16666666666667,183.41666666666666,70.12037037037038
2020/2/29,70,120.125,22.604166666666668,0.0,69.625,120.125,62.23456790123457
2020/3/1,70,190.0,20.720833333333335,0.0,77.58333333333333,190.0,54.456790123456784
2020/3/2,70,80.875,17.045833333333334,0.0,74.5,80.875,29.22077922077922
2020/3/3,70,72.33333333333333,19.962500000000002,0.0,71.91666666666667,72.33333333333333,37.267080745341616
2020/3/4,70,79.70833333333333,17.941666666666666,2.2,79.45833333333333,79.70833333333333,23.26839826839827
2020/3/5,70,85.08333333333333,14.383333333333333,13.600000000000001,81.20833333333333,85.08333333333333,43.425324675324674
2020/3/6,70,80.95833333333333,19.670833333333334,0.0,71.625,80.95833333333333,33.82034632034632
2020/3/7,70,160.00833333333333,21.7,0.0,73.33333333333333,160.00833333333333,67.41975308641975
2020/3/8,70,80.375,23.308333333333337,0.0,74.375,80.375,29.22077922077922
2020/3/9,70,193.70833333333334,23.5,0.6000000000000001,76.125,193.70833333333334,74.33333333333334
2020/3/10,70,112.375,17.620833333333334,77.0,80.125,112.375,29.503105590062113
2020/3/11,70,83.625,17.483333333333334,0.0,64.20833333333333,83.625,60.39814814814815
2020/3/12,70,151.4125,20.625,0.6000000000000001,70.66666666666667,151.4125,52.40432098765432
2020/3/13,70,155.5304347826087,19.030434782608694,63.8,88.91304347826087,155.5304347826087,36.843591191417275
2020/3/14,70,84.875,16.004166666666666,2.8000000000000003,75.70833333333333,84.875,46.807359307359306
2020/3/15,70,83.70833333333333,17.229166666666668,0.0,55.458333333333336,83.70833333333333,55.320987654320994
2020/3/16,70,88.125,19.4375,0.0,46.5,88.125,47.75432900432901
2020/3/17,70,150.95416666666668,21.170833333333334,0.0,56.125,150.95416666666668,68.39197530864197
2020/3/18,70,87.25,20.8125,0.2,73.125,87.25,94.20987654320987
2020/3/19,70,166.70833333333334,20.0125,8.6,84.08333333333333,166.70833333333334,85.35185185185185
2020/3/20,70,81.56521739130434,21.430434782608696,0.0,75.17391304347827,81.56521739130434,74.72785829307568
2020/3/21,70,158.51250000000002,24.479166666666668,0.0,68.5,158.51250000000002,73.14506172839506
2020/3/22,70,130.79166666666666,25.55,0.0,68.875,130.79166666666666,76.49382716049382
2020/3/23,70,74.79166666666667,21.441666666666663,1.0,76.79166666666667,74.79166666666667,62.7746913580247
2020/3/24,70,71.25,21.625,0.4,75.45833333333333,71.25,39.77272727272727
2020/3/25,70,109.625,24.708333333333332,0.0,72.91666666666667,109.625,65.48470209339774
2020/3/26,70,147.41666666666666,26.60833333333333,0.0,64.70833333333333,147.41666666666666,61.72390572390573
2020/3/27,70,111.79166666666667,24.25,53.599999999999994,76.875,111.79166666666667,70.55246913580248
2020/3/28,70,120.875,17.775000000000002,76.8,84.95833333333333,120.875,17.316017316017316
2020/3/29,70,80.20833333333333,17.479166666666668,0.0,74.45833333333333,80.20833333333333,21.915584415584416
2020/3/30,70,168.04166666666666,20.004166666666666,0.2,79.25,168.04166666666666,32.60281385281385
2020/3/31,70,116.8695652173913,20.46521739130435,3.0,81.43478260869566,116.8695652173913,23.5742518351214
2020/4/1,70,146.95833333333334,17.529166666666665,6.4,80.375,146.95833333333334,23.29192546583851
2020/4/2,70,77.58333333333333,18.462500000000002,18.4,81.04166666666667,77.58333333333333,26.650432900432904
2020/4/3,70,79.04166666666667,19.666666666666668,1.4000000000000001,81.5,79.04166666666667,45.45454545454545
2020/4/4,70,84.45833333333333,17.7375,0.4,77.95833333333333,84.45833333333333,43.29004329004329
2020/4/5,70,93.54166666666667,17.316666666666666,1.2,70.91666666666667,93.54166666666667,52.2962962962963
2020/4/6,70,85.54166666666667,17.8875,7.6,75.54166666666667,85.54166666666667,34.226190476190474
2020/4/7,70,98.58333333333333,16.7375,2.4000000000000004,80.70833333333333,98.58333333333333,30.303030303030305
2020/4/8,70,92.20833333333333,18.820833333333333,0.0,74.20833333333333,92.20833333333333,36.25541125541125
2020/4/9,70,87.14285714285714,20.047619047619047,0.8,71.14285714285714,87.14285714285714,48.01777170198223
2020/4/10,70,81.04166666666667,22.8,0.0,59.833333333333336,81.04166666666667,39.808018068887634
2020/4/11,70,207.5,20.729166666666668,18.6,74.16666666666667,207.5,61.910493827160494
2020/4/12,70,175.75,15.329166666666667,20.4,72.75,175.75,45.183982683982684
2020/4/13,70,125.81818181818181,16.13181818181818,0.0,53.36363636363637,125.81818181818181,72.69887278582931
2020/4/14,70,92.91304347826087,19.73913043478261,0.0,51.43478260869565,92.91304347826087,74.33333333333334
2020/4/15,70,152.16666666666666,21.11666666666667,0.0,57.958333333333336,152.16666666666666,83.08333333333334
2020/4/16,70,117.83333333333333,23.1125,0.0,57.25,117.83333333333333,68.07729468599034
2020/4/17,70,127.25,23.958333333333332,0.0,64.75,127.25,69.25617283950618
2020/4/18,70,87.29166666666667,24.662500000000005,0.0,68.0,87.29166666666667,71.41666666666667
2020/4/19,70,148.16666666666666,25.525000000000002,0.0,73.375,148.16666666666666,72.92901234567901
2020/4/20,70,89.95833333333333,23.962499999999995,0.0,74.95833333333333,89.95833333333333,55.25925925925926
2020/4/21,70,111.91666666666667,22.82083333333333,0.0,77.25,111.91666666666667,30.167748917748916
2020/4/22,70,78.95833333333333,19.129166666666666,0.4,80.70833333333333,78.95833333333333,10.01082251082251
2020/4/23,70,82.75,17.15833333333333,21.0,83.29166666666667,82.75,40.17857142857143
2020/4/24,70,83.20833333333333,15.975,9.2,81.625,83.20833333333333,29.785431959345004
2020/4/25,70,77.29166666666667,19.958333333333332,0.0,75.70833333333333,77.29166666666667,30.844155844155843
2020/4/26,70,116.29166666666667,20.67916666666667,0.6000000000000001,79.66666666666667,116.29166666666667,41.531385281385276
2020/4/27,70,79.5,22.145833333333332,1.0,71.91666666666667,79.5,26.679841897233203
2020/4/28,70,78.91666666666667,24.116666666666664,0.0,58.125,78.91666666666667,40.71969696969697
2020/4/29,70,85.375,25.729166666666668,0.0,56.791666666666664,85.375,51.864197530864196
2020/4/30,70,114.41250000000001,26.558333333333334,0.0,57.166666666666664,114.41250000000001,64.50308641975309
2020/5/1,70,138.75,27.1375,0.0,57.666666666666664,138.75,77.57407407407408
2020/5/2,70,124.21666666666665,27.625,0.0,60.666666666666664,124.21666666666665,74.76543209876544
2020/5/3,70,156.29166666666666,28.254166666666666,0.0,66.70833333333333,156.29166666666666,55.42901234567901
2020/5/4,70,142.14166666666668,29.575,0.0,66.45833333333333,142.14166666666668,54.0246913580247
2020/5/5,70,95.45833333333333,29.291666666666668,0.0,67.83333333333333,95.45833333333333,71.84876543209877
2020/5/6,70,99.95833333333333,27.004166666666666,0.2,71.91666666666667,99.95833333333333,39.366883116883116
2020/5/7,70,79.33333333333333,25.5125,14.6,77.91666666666667,79.33333333333333,38.69047619047619
2020/5/8,70,103.66666666666667,28.475000000000005,0.0,69.45833333333333,103.66666666666667,38.396386222473176
2020/5/9,70,158.625,30.4875,0.0,64.625,158.625,35.44372294372294
2020/5/10,70,86.29166666666667,29.370833333333337,2.0,72.33333333333333,86.29166666666667,45.589826839826834
2020/5/11,70,72.375,25.616666666666664,0.0,78.29166666666667,72.375,44.466403162055336
2020/5/12,70,83.5,23.4875,24.999999999999996,80.20833333333333,83.5,48.02489177489177
2020/5/13,70,76.79166666666667,26.3875,0.0,63.125,76.79166666666667,80.92283950617285
2020/5/14,70,121.41666666666667,28.670833333333334,0.0,62.75,121.41666666666667,70.76851851851852
2020/5/15,70,151.95833333333334,29.162499999999998,0.0,66.45833333333333,151.95833333333334,71.00805152979066
2020/5/16,70,120.95833333333333,27.179166666666664,14.0,73.58333333333333,120.95833333333333,45.31926406926407
