AQI,AQI.1,AQI.2,AQI.3
52.83641975,49.78354978,51.32407407,57.37345679
49.78354978,51.32407407,57.37345679,63.25589226
51.32407407,57.37345679,63.25589226,80.34343434
57.37345679,63.25589226,80.34343434,67.38047138
63.25589226,80.34343434,67.38047138,63.96296296
80.34343434,67.38047138,63.96296296,57.2654321
67.38047138,63.96296296,57.2654321,37.74350649
63.96296296,57.2654321,37.74350649,28.24074074
57.2654321,37.74350649,28.24074074,28.24074074
37.74350649,28.24074074,28.24074074,35.17316017
28.24074074,28.24074074,35.17316017,43.96645022
28.24074074,35.17316017,43.96645022,48.43073593
35.17316017,43.96645022,48.43073593,46.53679654
43.96645022,48.43073593,46.53679654,29.08549784
48.43073593,46.53679654,29.08549784,21.50974026
46.53679654,29.08549784,21.50974026,34.36147186
29.08549784,21.50974026,34.36147186,32.91027155
21.50974026,34.36147186,32.91027155,31.38528139
34.36147186,32.91027155,31.38528139,20.42748918
32.91027155,31.38528139,20.42748918,45.31926407
31.38528139,20.42748918,45.31926407,33.68506494
20.42748918,45.31926407,33.68506494,18.66883117
45.31926407,33.68506494,18.66883117,16.23376623
33.68506494,18.66883117,16.23376623,26.51515152
18.66883117,16.23376623,26.51515152,35.29079616
16.23376623,26.51515152,35.29079616,43.1547619
26.51515152,35.29079616,43.1547619,44.1017316
35.29079616,43.1547619,44.1017316,24.35064935
43.1547619,44.1017316,24.35064935,26.10930736
44.1017316,24.35064935,26.10930736,36.56126482
24.35064935,26.10930736,36.56126482,35.8495671
26.10930736,36.56126482,35.8495671,33.41450216
36.56126482,35.8495671,33.41450216,40.31385281
35.8495671,33.41450216,40.31385281,36.39069264
33.41450216,40.31385281,36.39069264,32.73809524
40.31385281,36.39069264,32.73809524,16.504329
36.39069264,32.73809524,16.504329,14.61038961
32.73809524,16.504329,14.61038961,26.24458874
16.504329,14.61038961,26.24458874,40.04329004
14.61038961,26.24458874,40.04329004,39.40377804
26.24458874,40.04329004,39.40377804,42.74891775
40.04329004,39.40377804,42.74891775,31.52056277
39.40377804,42.74891775,31.52056277,38.96103896
42.74891775,31.52056277,38.96103896,43.96645022
31.52056277,38.96103896,43.96645022,43.05477132
38.96103896,43.96645022,43.05477132,20.96861472
43.96645022,43.05477132,20.96861472,19.3452381
43.05477132,20.96861472,19.3452381,66.98765432
20.96861472,19.3452381,66.98765432,45.0487013
19.3452381,66.98765432,45.0487013,22.72727273
66.98765432,45.0487013,22.72727273,26.24458874
45.0487013,22.72727273,26.24458874,37.33766234
22.72727273,26.24458874,37.33766234,47.754329
26.24458874,37.33766234,47.754329,42.91360813
37.33766234,47.754329,42.91360813,46.26623377
47.754329,42.91360813,46.26623377,35.03787879
42.91360813,46.26623377,35.03787879,35.03787879
46.26623377,35.03787879,35.03787879,35.71428571
35.03787879,35.03787879,35.71428571,84.16358025
35.03787879,35.71428571,84.16358025,40.85497835
35.71428571,84.16358025,40.85497835,30.49124788
84.16358025,40.85497835,30.49124788,13.52813853
40.85497835,30.49124788,13.52813853,30.97943723
30.49124788,13.52813853,30.97943723,44.50757576
13.52813853,30.97943723,44.50757576,51.75617284
30.97943723,44.50757576,51.75617284,28.79728967
44.50757576,51.75617284,28.79728967,36.52597403
51.75617284,28.79728967,36.52597403,38.41991342
28.79728967,36.52597403,38.41991342,37.06709957
36.52597403,38.41991342,37.06709957,34.09090909
38.41991342,37.06709957,34.09090909,32.06168831
